player_id,player_name,club_team,intl_team,club_minutes,intl_minutes,club_n_contexts,intl_n_contexts,club_per90_vaep,intl_per90_vaep,delta_per90_vaep,club_joi_top5_sum,intl_joi_top5_sum,delta_joi_top5_sum,club_centrality_eigen,intl_centrality_eigen,delta_centrality_eigen,club_embeddedness,intl_embeddedness,delta_embeddedness,career_familiarity_with_intl_squadmates
11541,Tomáš Vaclík,Sevilla,Czech Republic,360.0,450.0,2,1,-0.07318922850390663,-0.19202537032251712,-0.11883614181861049,0.004416123803799868,0.011572274980382647,0.007156151176582779,0.11147405544788895,0.20014694159461274,0.08867288614672379,-0.16808333119994753,0.331262905064461,0.49934623626440855,4520.0
3141,André-Frank Zambo Anguissa,Villarreal,Cameroon,180.0,626.7833333333333,1,2,0.1502601540487376,0.023054595030675442,-0.12720555901806216,0.04449315577422819,0.021442180364514254,-0.023050975409713934,0.3823587379914153,0.4295784735360205,0.047219735544605235,0.3539991949489675,0.24205655478256943,-0.11194264016639804,5194.0
3509,Thibaut Courtois,Real Madrid,Belgium,360.0,1350.0,2,3,-0.060589498876652215,-0.15131601528749647,-0.09072651641084425,-0.00783111084943054,0.008594201129231628,0.01642531197866217,0.1040968968977137,0.16366298510167968,0.05956608820396597,0.3947640011066975,0.7760318660796719,0.3812678649729744,12627.0
4447,Martin Braithwaite Christensen,Barcelona,Denmark,1438.4666666666667,784.95,2,2,-0.007851252518904768,-0.0615710197533447,-0.05371976723443993,0.18097231372971528,0.04561565565867514,-0.13535665807104014,0.03429798704930925,0.1930068960834779,0.15870890903416865,1.2973649824285975,0.059772069833327245,-1.2375929125952703,8113.0
5539,Carlos Henrique Casimiro,Real Madrid,Brazil,360.0,692.7,2,2,0.10606206742522772,0.17316722499893897,0.06710515757371124,0.029691442813041737,0.06495718745717508,0.03526574464413334,0.3826092084924354,0.2903568132560795,-0.09225239523635592,0.1494030790695232,0.5360373890594878,0.3866343099899646,8247.0
5574,Toni Kroos,Real Madrid,Germany,180.0,1070.0333333333333,1,3,-0.11275869704631622,0.31557761006439733,0.4283363071107136,-0.010856608175423573,0.12709969978000843,0.137956307955432,0.4552181949899815,0.47194270033337676,0.016724505343395257,-0.4356183791981343,0.16033378674213547,0.5959521659402698,10150.0
5721,Daniel Carvajal Ramos,Real Madrid,Spain,180.0,675.8166666666666,1,2,0.655235645470384,0.2724955791648672,-0.3827400663055168,-0.006824885670875105,0.15319699798585942,0.16002188365673453,0.3667637859388679,0.21267997447935197,-0.1540838114595159,-0.2151892710569904,0.6295980811617434,0.8447873522187338,7916.0
6383,Thomas Teye Partey,Atlético Madrid,Ghana,180.0,272.1166666666667,1,1,0.12383490347565385,0.10544975414891591,-0.018385149326737932,-0.0377166555890313,0.04362476184905972,0.08134141743809102,0.4433787692775854,0.5080552345651795,0.06467646528759413,-0.048802882307806716,0.42655385209826013,0.47535673440606685,2300.0
6892,Pau Francisco Torres,Villarreal,Spain,360.0,330.81666666666666,2,1,0.16960309632850112,0.15190918992828847,-0.01769390640021265,0.00960057363664283,0.05871229556073499,0.04911172192409216,0.3993992106381553,0.38281183547571557,-0.016587375162439744,0.420326586338432,0.11971611284444345,-0.30061047349398856,3398.0
8118,Frenkie de Jong,Barcelona,Netherlands,4614.85,794.2833333333333,2,2,0.1574181075430899,0.24922134493642178,0.09180323739333188,0.1792037370495023,0.28092301186930724,0.10171927481980494,0.32744460994452884,0.4373732718407476,0.10992866189621875,1.8070955829440043,1.5668068787622453,-0.24028870418175896,8386.0
